Term,Arabic,Description
Knight,الفارس,فئة مقاتل - دروع ثقيلة وسيوف عظيمة
Guardian,الحارس,فئة مقاتل - دروع وسيوف متوازنة
Barbarian,البربري,فئة مقاتل - هراوات ضخمة وقوة بدنية خام
Berserker,الهائج,فئة مقاتل - فؤوس عظيمة وهجوم مستمر
Blademaster,سيد السيوف,فئة مقاتل - سيوف منحنية
Cleric,الكاهن,فئة مقاتل - معجزات ودعم مقدس
Crusader,الصليبي,فئة مقاتل - مطارق عظيمة وسحر مقدس
Assassin,القاتل المأجور,فئة مقاتل - خناجر وتخفٍ
Archer,الرامي,فئة مقاتل - أقواس وهجوم عن بعد
Cutthroat,قاطع الطرق,فئة مقاتل - سيوف خفيفة وسريعة
Fencer,المبارز,فئة مقاتل - طعنات شيش دقيقة
Dragoon,الفارس التنين,فئة مقاتل - رماح وقفزات قتالية
Brute,العنيف,فئة مقاتل - شجار بالهراوات والمراوغة
Ascetic,الزاهد,فئة مقاتل - فنون ننشاكو قتالية
Frost Mage,ساحر الصقيع,فئة مقاتل - سحر جليدي وتجميد
Harbinger,النذير,فئة مقاتل - مناجل وسحر مظلم
Exorcist,طارد الأرواح,فئة مقاتل - تطهير وطرد الأرواح
Flagellant,الجلاد النادم,فئة مقاتل - قتال تضحوي تكفيري
Marauder,المغير,فئة مقاتل - فؤوس هجومية مركبة
