Term,Arabic,Description
Greatsword,سيف عظيم,سلاح ثقيل يحمل باليدين
Straight Sword,سيف مستقيم,سلاح قتالي كلاسيكي
Curved Sword,سيف منحنٍ,سيف سريع
Dagger,خنجر,سلاح طعن سريع
Greataxe,فأس عظيمة,فأس ضخمة ثنائية المقبض
Greathammer,مطرقة عظيمة,مطرقة حربية ساحقة
Staff,عصا سحرية,سلاح لإطلاق التعاويذ
Bow,قوس,سلاح هجوم عن بعد
Shield,ترس,درع اليد للدفاع والصد
Rings,خواتم,مجوهرات تعطي تأثيرات سحرية
Ring,خاتم,مجوهرات تعطي تأثيرات سحرية
Infusion,شحن عنصري,تزويد السلاح بطاقة عنصرية (نار، كهرباء...)
Enchanting,السحر / التعزيز السحري,إضافة تأثيرات وسمات عشوائية للعتاد
Gems,أحجار كريمة / جواهر,تُركب في تجاويف العتاد لزيادة خصائصه
Copper Ore,خام نحاس,مادة تعدين
Copper Ingot,سبيكة نحاس,مادة حدادة
Iron Ore,خام حديد,مادة تعدين متقدمة
Iron Ingot,سبيكة حديد,مادة حدادة متقدمة
Birch Wood,خشب البتولا,أخشاب للصناعة والبناء
Pine Wood,خشب الصنوبر,أخشاب للصناعة والبناء
Clay,طين / صلصال,مادة بناء
Meals,وجبات,أطعمة مطهوة لاستعادة الصحة
Herbs,أعشاب,نباتات تجمع من البرية للطبخ والجرعات
Potions,جرعات,قوارير سحرية وعلاجية
