Term,Arabic,Description
Plagued,موبوء,مصاب بالوباء ويفقد قواه بالتدريج
Burn,احتراق,ضرر ناري مستمر
Burning,مشتعل,ضرر ناري مستمر
Freeze,تجميد,شلل حركي مؤقت نتيجة الجليد
Frozen,متجمد,شلل حركي مؤقت نتيجة الجليد
Chill,قشعريرة,إبطاء الحركة وسرعة الهجوم
Chilled,مبرّد,إبطاء الحركة وسرعة الهجوم
Shock,صعق,ضرر كهربائي وتشتت التركيز
Electrocuted,مصعوق,ضرر كهربائي وتشتت التركيز
Bleed,نزيف,ضرر ينقص الصحة تدريجياً
Bleeding,ينزف,ضرر ينقص الصحة تدريجياً
Buff,تعزيز / أثر إيجابي,زيادة مؤقتة في القدرات
Debuff,إضعاف / أثر سلبي,نقص مؤقت في القدرات
Bulky,ضخم,زيادة الدرع مع نقص سرعة الصمود
Dense,كثيف,زيادة الدرع مع زيادة الوزن
Quick,سريع,زيادة سرعة الهجوم مع تقليل الضرر
Nimble,رشيق,تقليل استهلاك طاقة الجهد مع خفض التركيز
Keen,حاد,زيادة فرصة الضربة الحرجة
Indestructible,لا ينكسر / منيع,عتاد لا يفقد متانته أبداً
Durable,متين,زيادة كبيرة في متانة العنصر
