Term,Arabic,Description,Frequency
You,,,383
Rune,,,252
Slot,,,241
Press,,,220
Detailed Instructions,,,175
Can,,,169
Workbench,,,148
They,,,128
Sacra,,,111
What,,,105
Must,,,105
There,,,102
Ellsworth,,,100
Used,,,98
Handed Weapon,,,97
God,,,96
One,,,88
Not,,,84
Please,,,68
All,,,66
Your,,,63
Dasha,,,61
Seconds,,,61
Don,,,60
Hold,,,59
Wand,,,59
She,,,55
Perhaps,,,53
Marin,,,49
When,,,47
Two,,,45
But I,,,44
Anvil,,,44
Some,,,43
Teaches,,,43
Just,,,42
Now,,,42
How,,,40
Balak Taw,,,40
Why,,,39
Alchemy Table,,,39
Yes,,,38
Instantly,,,38
Well,,,37
Let,,,37
Maybe,,,35
Winnick,,,35
Level,,,35
Watcher,,,34
Where,,,34
Utility Slot,,,33
Every,,,31
Rookery,,,30
Havenport,,,29
Have,,,28
Look,,,28
Only,,,28
Keep,,,28
Chance,,,28
Charge,,,28
Location,,,27
Damage Dealt,,,27
Gate,,,26
Day,,,26
Danos,,,26
Those,,,24
Who,,,24
Sayer,,,23
Governor,,,23
Thank,,,23
Kill,,,23
Unleash,,,23
And I,,,22
Our,,,22
Once,,,22
These,,,22
Damage Resistance,,,22
Damage Taken,,,22
Elsa,,,21
Irmgard,,,21
Tanth,,,21
Focus Gain,,,21
Each,,,20
Make,,,20
Tir,,,20
Gauntlets,,,20
Detailed,,,20
Take,,,19
Will,,,19
Savor,,,19
Enemies,,,19
Allows,,,19
If I,,,18
Rites,,,18
Even,,,18
Lara,,,18
Then,,,18
Never,,,18
Death,,,18
Poise Defense,,,18
Crucible,,,18
Sewing Table,,,18
Axe,,,18
Leap,,,18
Spin,,,18
Many,,,17
Like,,,17
More,,,17
Did,,,17
Nothing,,,17
Boarskin,,,17
Mariner,,,17
Chamber,,,17
Furnace,,,17
Stove,,,17
Use,,,17
Select,,,17
King,,,16
Markos,,,16
Caroline,,,16
Low Health,,,16
Stamina Cost,,,16
Unlocks,,,16
Gloves,,,16
Eyes,,,15
Mira,,,15
Gain   Health,,,15
Unspoken,,,14
Embrace,,,14
None,,,14
Reed,,,14
His,,,14
Tell,,,14
Captain Randolph,,,14
Captain,,,14
Max Health,,,14
Sawmill,,,14
Spinning Wheel,,,14
Tanning Rack,,,14
Cannot,,,14
Choose,,,14
Adjust,,,14
Move,,,13
Leave,,,13
Seeker,,,13
Good,,,13
Mother,,,13
Their,,,13
Would,,,13
Meri,,,13
Elemental Damage,,,13
Movement Speed,,,13
Copyright,,,13
See,,,12
The Madrigal,,,12
All I,,,12
Nith,,,12
Mocked,,,12
Increases,,,12
Large Vial,,,12
Medium Vial,,,12
Small Vial,,,12
Plant,,,12
Heavy,,,12
Enables,,,12
Grants,,,12
Weapon,,,12
Fire Pit,,,12
Whispers,,,11
Could,,,11
Bolein,,,11
Fallen,,,11
Glades,,,11
Come,,,11
Black Trench,,,11
Back,,,11
Here,,,11
Another,,,11
Think,,,11
Iona,,,11
Always,,,11
Echo Knights,,,11
Welcome,,,11
Vale,,,11
Open,,,11
Perform,,,11
Sulin Froth,,,11
Focus Cost,,,11
Healing,,,11
Plague Damage,,,11
Stamina Regeneration,,,11
Max Stamina,,,11
Maximum Health,,,11
Enemy,,,11
Double Dagger,,,11
Font Software,,,11
Beggar,,,10
House Bolein,,,10
Find,,,10
May,,,10
