Term,Arabic,Description
Rune,الرونية,حجر يستخدم لترقية العتاد أو منحه قدرات
Runes,الرونيات,أحجار تستخدم لترقية العتاد أو منحه قدرات
Slot,خانة,خانة في واجهة العتاد
Utility Slot,خانة الملحقات,خانة للمعدات الإضافية والأدوات
Workbench,طاولة العمل,مكان ترقية الأسلحة والدروع
Anvil,سندان,يستخدم للحدادة والترقية
Alchemy Table,طاولة الكيمياء,مكان لصنع الجرع
Wand,عصا سحرية قصيرة,سلاح سحري
Handed Weapon,سلاح يد,تصنيف الأسلحة (بيد واحدة أو اثنتين)
Havenport,هافن بورت,مدينة خارج الجزيرة
Balak Taw,بالاك تاو,شخصية في اللعبة
Dasha,داشا,شخصية
Winnick,وينيك,شخصية
Bounty,مكافأة صيد,مهمة صيد تعطي مكافأة
Bounties,مكافآت الصيد,مهام صيد تعطي مكافآت
Challenge,تحدي,مهمة تحدي
Challenges,التحديات,مهام التحدي
Enchant,يسحر,إضافة سحر للعتاد
Exalt,يُمجّد,ترقية نادرة للعتاد
Craft,صناعة,صنع العناصر
Plagued,موبوء,متأثر بالوباء
Archer,رامي السهام,فئة لاعب
Ascetic,الزاهد,فئة لاعب
Assassin,القاتل المأجور,فئة لاعب
Barbarian,البربري,فئة لاعب
Berserker,هائج,فئة لاعب
Blademaster,سيد السيوف,فئة لاعب
Brute,العنيف,فئة لاعب
Cleric,الكاهن,فئة لاعب
Contortionist,بهلواني,فئة لاعب
Crusader,صليبي,فئة لاعب
Cutthroat,قاطع الطرق,فئة لاعب
Dragoon,الفارس التنين,فئة لاعب
Exorcist,طارد الأرواح,فئة لاعب
Fencer,مبارز,فئة لاعب
Flagellant,الجلاد النادم,فئة لاعب
Frost Mage,ساحر الصقيع,فئة لاعب
Guardian,حارس,فئة لاعب
Harbinger,نذير,فئة لاعب
Knight,فارس,فئة لاعب
Marauder,مغير,فئة لاعب
Marksman,قناص,فئة لاعب
Monk,راهب,فئة لاعب
Mystic,صوفي,فئة لاعب
Necromancer,مستحضر الأرواح,فئة لاعب
Paladin,فارس مقدس,فئة لاعب
Pilgrim,حاج,فئة لاعب
Plaguebearer,حامل الوباء,فئة لاعب
Pyromancer,ساحر نار,فئة لاعب
Rogue,مارق,فئة لاعب
Sentinel,حارس,فئة لاعب
Storm Bringer,جالب العاصفة,فئة لاعب
Templar,فرسان المعبد,فئة لاعب
Trickster,مخادع,فئة لاعب
Viper,أفعى,فئة لاعب
Warlord,أمير الحرب,فئة لاعب
Witch,ساحرة,فئة لاعب
Wraith,شبح,فئة لاعب
