key,source,target
achievementAllSlotsMaxedDesc,Have every equipment slot filled and fully upgraded,
achievementAllSlotsMaxedName,Peak Performance,
achievementAnimalFriendDesc,Pet an animal,
achievementAnimalFriendName,Friend of Beasts,
achievementBackstabMasterDesc,Defeat 10 enemies with backstabs,
achievementBackstabMasterName,Silent Killer,
achievementBuffMasterDesc,Have 7 buffs active at the same time,
achievementBuffMasterName,Overpowered,
achievementBuyHouseDesc,Purchase your first house,
achievementBuyHouseName,Homeowner,
achievementCatchEveryFishDesc,Catch every type of fish,
achievementCatchEveryFishName,Master Angler,
achievementCompleteBounties10Desc,Complete 10 bounties or challenges,
achievementCompleteBounties10Name,Bounty Hunter,
achievementCompleteBounties30Desc,Complete 30 bounties or challenges,
achievementCompleteBounties30Name,Professional Bounty Hunter,
achievementCompleteDanosProjectsDesc,Complete all Danos projects,
achievementCompleteDanosProjectsName,Danos' Apprentice,
achievementCompleteMainStoryDesc,Complete the main story,
achievementCompleteMainStoryName,Forsaken Champion,
achievementCookFood10Desc,Cook 10 different types of food,
achievementCookFood10Name,Seasoned Cook,
achievementCookFood15Desc,Cook 15 different types of food,
achievementCookFood15Name,Master Chef,
achievementCookFood5Desc,Cook 5 different types of food,
achievementCookFood5Name,Amateur Chef,
achievementCorruptedDefenderDesc,Hold back a Plagued Outbreak while affected by 8 corruptions,
achievementCorruptedDefenderName,Corrupted Champion,
achievementCrucibleVictorDesc,Complete a crucible run or defeat the Echo Knight,
achievementCrucibleVictorName,Crucible Victor,
achievementDefeatAllPlagueBossesDesc,Defeat every plagued outbreak boss,
achievementDefeatAllPlagueBossesName,Plague Purger,
achievementDefeatCaretakerDesc,Defeat The Caretaker,
achievementDefeatCaretakerName,No More Care,
achievementDefeatDarakDesc,Defeat Darak,
achievementDefeatDarakName,Darak's End,
achievementDefeatLostHuntressDesc,Defeat The Lost Huntress,
achievementDefeatLostHuntressName,Hunter Becomes Hunted,
achievementDefeatRivenTwinsDesc,Defeat The Riven Twins,
achievementDefeatRivenTwinsName,Twin Shadows Fall,
achievementDefeatWarrickDesc,Defeat Warrick the Torn,
achievementDefeatWarrickName,Torn Asunder,
achievementDefeatWingedBroodDesc,Defeat The Winged Brood,
achievementDefeatWingedBroodName,Clipped Wings,
achievementDiscoverResources20Desc,Discover 20 different resources,
