"key","source","target"
"affixes.affixAttackSpeedIncreased.Description","Enemy [StatAttackSpeed] <b>Attack Speed</b> increased by {0}","زيادة [StatAttackSpeed] <b>سرعة هجوم</b> العدو بمقدار {0}"
"affixes.affixDamageIncreased.Description","Enemy [StatDamage] <b>Damage</b> increased by {0}","زيادة <b>ضرر</b> العدو [StatDamage] بمقدار {0}"
"affixes.affixDamageIncreasedAtLowHealth.Description","Enemy [StatDamage] <b>Damage</b> increased by {0} at Low Health","زيادة <b>ضرر</b> العدو [StatDamage] بمقدار {0} عند انخفاض الصحة"
"affixes.affixDamageTakenDecreasedAtHighHealth.Description","Enemies <b>Take</b> {0} less [StatDamageTaken] <b>Damage</b> at High Health","<b>يتلقى</b> الأعداء <b>ضررًا</b> [StatDamageTaken] أقل بمقدار {0} عند ارتفاع الصحة"
"affixes.affixLifestealIncreased.Description","Enemy [StatLifesteal] <b>Lifesteal</b> increased by {0}","زيادة <b>سرقة الحياة</b> للعدو [StatLifesteal] بمقدار {0}"
"affixes.affixMaxHealthIncreased.Description","Enemy [StatMaxHealth] <b>Max Health</b> increased by {0}","زيادة <b>الحد الأقصى لصحة</b> العدو [StatMaxHealth] بمقدار {0}"
"affixes.affixRegenHealth.Description","Enemies [StatHealthRegen] <b>Regenerate Health</b>","الأعداء [StatHealthRegen] <b>يجددون صحتهم</b>"
"affixes.affixStaggerResistanceIncreased.Description","Enemy [StatStaggerResistance] <b>Stagger Resistance</b> increased by {0}","زيادة <b>مقاومة الترنّح</b> للعدو [StatStaggerResistance] بمقدار {0}"
"affixes.corruptionAffixDealDamageArea.Description","Deals <b>Damage</b> in the area every {0} seconds","إلحاق <b>ضرر</b> في المنطقة المحيطة كل {0} ثوانٍ"
"affixes.corruptionAffixDrainFocusArea.Description","Drains <b>Focus</b> in the area","استنزاف <b>التركيز</b> في المنطقة المحيطة"
"affixes.corruptionAffixLifesteal.Description","Has <b>Lifesteal</b>","يمتلك خاصية <b>سرقة الحياة</b>"
"affixes.corruptionAffixReducedHealingArea.Description","Reduces <b>Healing</b> in the area","تقليل <b>الشفاء</b> في المنطقة المحيطة"
"affixes.corruptionAffixRegenHealth.Description","Regenerates <b>Health</b> over time","تجديد <b>الصحة</b> بمرور الوقت"
"affixes.corruptionAffixSlowdownArea.Description","Reduces <b>Overall Speed</b> in the area","تقليل <b>السرعة الإجمالية</b> في المنطقة المحيطة"
