key,source,target
affixes.affixAttackSpeedIncreased.Description,Enemy [StatAttackSpeed] <b>Attack Speed</b> increased by {0},زادت <b>سرعة الهجوم</b> للعدو [StatAttackSpeed] بمقدار {0}
affixes.affixDamageIncreased.Description,Enemy [StatDamage] <b>Damage</b> increased by {0},زاد <b>ضرر</b> العدو [StatDamage] بمقدار {0}
affixes.affixDamageIncreasedAtLowHealth.Description,Enemy [StatDamage] <b>Damage</b> increased by {0} at Low Health,زاد <b>ضرر</b> العدو [StatDamage] بمقدار {0} عند الصحة المنخفضة
affixes.affixDamageTakenDecreasedAtHighHealth.Description,Enemies <b>Take</b> {0} less [StatDamageTaken] <b>Damage</b> at High Health,<b>يتلقى</b> الأعداء <b>ضرراً</b> [StatDamageTaken] أقل بمقدار {0} عند الصحة المرتفعة
affixes.affixLifestealIncreased.Description,Enemy [StatLifesteal] <b>Lifesteal</b> increased by {0},زادت <b>سرقة الحياة</b> للعدو [StatLifesteal] بمقدار {0}
affixes.affixMaxHealthIncreased.Description,Enemy [StatMaxHealth] <b>Max Health</b> increased by {0},زاد <b>الحد الأقصى للصحة</b> للعدو [StatMaxHealth] بمقدار {0}
affixes.affixRegenHealth.Description,Enemies [StatHealthRegen] <b>Regenerate Health</b>,الأعداء [StatHealthRegen] <b>يجددون الصحة</b>
affixes.affixStaggerResistanceIncreased.Description,Enemy [StatStaggerResistance] <b>Stagger Resistance</b> increased by {0},زادت <b>مقاومة الترنّح</b> للعدو [StatStaggerResistance] بمقدار {0}
affixes.corruptionAffixDealDamageArea.Description,Deals <b>Damage</b> in the area every {0} seconds,يُلحق <b>الضرر</b> في المنطقة كل {0} ثوانٍ
affixes.corruptionAffixDrainFocusArea.Description,Drains <b>Focus</b> in the area,يستنزف <b>التركيز</b> في المنطقة
affixes.corruptionAffixLifesteal.Description,Has <b>Lifesteal</b>,يمتلك <b>سرقة حياة</b>
affixes.corruptionAffixReducedHealingArea.Description,Reduces <b>Healing</b> in the area,يُقلل <b>الشفاء</b> في المنطقة
affixes.corruptionAffixRegenHealth.Description,Regenerates <b>Health</b> over time,يُجدد <b>الصحة</b> بمرور الوقت
affixes.corruptionAffixSlowdownArea.Description,Reduces <b>Overall Speed</b> in the area,يُقلل <b>السرعة الإجمالية</b> في المنطقة
