"key","source","target"
"boons.common.cold.coldShock.Description","Gain [StatColdDamage] [!sIce]Ice[/s] Infusion","Gain [StatColdDamage] [!sIce]Ice[/s] Infusion"
"boons.common.cold.coldShock.Name","Cold Shock","Cold Shock"
"boons.common.critical.keenEdge.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0} when <b>Health drops</b> below {1}","[StatCritical] <b>Critical Hit Chance</b> increased by {0} when <b>Health drops</b> below {1}"
"boons.common.critical.keenEdge.Name","Keen Edge","Keen Edge"
"boons.common.critical.lethalHope.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0}","[StatCritical] <b>Critical Hit Chance</b> increased by {0}"
"boons.common.critical.lethalHope.Name","Lethal Hope","Lethal Hope"
"boons.common.critical.sayersWrath.Description","[StatCritical] <b>Critical Damage</b> increased by {0}","[StatCritical] <b>Critical Damage</b> increased by {0}"
"boons.common.critical.sayersWrath.Name","Sayer's Wrath","Sayer's Wrath"
"boons.common.critical.vitalLash.Description","[StatCritical] <b>Critical Damage</b> increased by {0}","[StatCritical] <b>Critical Damage</b> increased by {0}"
"boons.common.critical.vitalLash.Name","Vital Lash","Vital Lash"
"boons.common.damage.commonKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Common Echo</b>","[StatDamage] <b>Damage</b> increased by {0} for each <b>Common Echo</b>"
"boons.common.damage.commonKnowledge.Name","Common Knowledge","Common Knowledge"
"boons.common.damage.deathsSpite.Description","Deal {0} Explosion [StatFireDamage] [!sFire]Damage[/s] on Kill","Deal {0} Explosion [StatFireDamage] [!sFire]Damage[/s] on Kill"
"boons.common.damage.deathsSpite.Name","Death's Spite","Death's Spite"
"boons.common.damage.doubleStrike.Description","Deal <b>Damage</b> twice with {0} chance","Deal <b>Damage</b> twice with {0} chance"
"boons.common.damage.doubleStrike.Name","Double Strike","Double Strike"
"boons.common.damage.exoticKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Unique Echo</b>","[StatDamage] <b>Damage</b> increased by {0} for each <b>Unique Echo</b>"
"boons.common.damage.exoticKnowledge.Name","Exotic Knowledge","Exotic Knowledge"
"boons.common.damage.feveredAttack.Description","[StatDamage] <b>Damage</b> increased by {0}","[StatDamage] <b>Damage</b> increased by {0}"
"boons.common.damage.feveredAttack.Name","Fevered Attack","Fevered Attack"
"boons.common.damage.forbiddenKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Plagued Echo</b>, but take {1} more [StatDamageTaken] <b>Damage</b>","[StatDamage] <b>Damage</b> increased by {0} for each <b>Plagued Echo</b>, but take {1} more [StatDamageTaken] <b>Damage</b>"
"boons.common.damage.forbiddenKnowledge.Name","Forbidden Knowledge","Forbidden Knowledge"
"boons.common.damage.momentum.Description","[StatDamage] <b>Damage</b> increases by {0} on Kill up to {1} times","[StatDamage] <b>Damage</b> increases by {0} on Kill up to {1} times"
"boons.common.damage.momentum.Name","Momentum","Momentum"
"boons.common.damage.rareKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Rare Echo</b>","[StatDamage] <b>Damage</b> increased by {0} for each <b>Rare Echo</b>"
"boons.common.damage.rareKnowledge.Name","Rare Knowledge","Rare Knowledge"
"boons.common.elemental.elementalSurge.Description","{0} Chance that <b>Elemental Damage</b> gets doubled","{0} Chance that <b>Elemental Damage</b> gets doubled"
"boons.common.elemental.elementalSurge.Name","Elemental Surge","Elemental Surge"
"boons.common.elemental.naturesIre.Description","[StatElementalDamage] <b>Elemental Damage</b> increased by {0}","[StatElementalDamage] <b>Elemental Damage</b> increased by {0}"
"boons.common.elemental.naturesIre.Name","Nature's Ire","Nature's Ire"
"boons.common.elemental.primalFlurry.Description","Elemental attacks have a {0} <b>chance to hit an additional target</b>","Elemental attacks have a {0} <b>chance to hit an additional target</b>"
"boons.common.elemental.primalFlurry.Name","Primal Flurry","Primal Flurry"
"boons.common.elemental.thornedPrecision.Description","<b>Elemental Damage</b> increased by {0} for each consecutive hit in a combo","<b>Elemental Damage</b> increased by {0} for each consecutive hit in a combo"
"boons.common.elemental.thornedPrecision.Name","Thorned Precision","Thorned Precision"
"boons.common.equipment.agileFighter.Description","[StatMovementSpeed] <b>Movement Speed</b> and [StatAttackSpeed] <b>Attack Speed</b> increased by {0}","[StatMovementSpeed] <b>Movement Speed</b> and [StatAttackSpeed] <b>Attack Speed</b> increased by {0}"
"boons.common.equipment.agileFighter.Name","Agile Fighter","Agile Fighter"
"boons.common.equipment.durableMaterials.Description","<b>Durability</b> of all equipment increased by {0}","<b>Durability</b> of all equipment increased by {0}"
"boons.common.equipment.durableMaterials.Name","Durable Materials","Durable Materials"
"boons.common.equipment.hardenedGear.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0}","[StatDamageTaken] <b>Damage Resistance</b> increased by {0}"
"boons.common.equipment.hardenedGear.Name","Hardened Gear","Hardened Gear"
"boons.common.equipment.lightweightGear.Description","[StatWeight] <b>Weight</b> of all equipment decreased by {0}","[StatWeight] <b>Weight</b> of all equipment decreased by {0}"
"boons.common.equipment.lightweightGear.Name","Lightweight Gear","Lightweight Gear"
"boons.common.equipment.steadfastStance.Description","[StatPoiseDefense] <b>Poise Defense</b> increased by {0}","[StatPoiseDefense] <b>Poise Defense</b> increased by {0}"
"boons.common.equipment.steadfastStance.Name","Steadfast Stance","Steadfast Stance"
"boons.common.fire.fireBurst.Description","{0} <b>Chance</b> to deal <b>Moderate</b> [StatFireDamage] [!sFire]Fire Damage[/s] around the enemy on Damage Dealt","{0} <b>Chance</b> to deal <b>Moderate</b> [StatFireDamage] [!sFire]Fire Damage[/s] around the enemy on Damage Dealt"
"boons.common.fire.fireBurst.Name","Fire Burst","Fire Burst"
"boons.common.fire.firestarter.Description","Deal <b>Minor</b> [StatFireDamage] [!sFire]Fire Damage[/s] around you over time","Deal <b>Minor</b> [StatFireDamage] [!sFire]Fire Damage[/s] around you over time"
"boons.common.fire.firestarter.Name","Firestarter","Firestarter"
"boons.common.fire.heatShock.Description","Gain [StatFireDamage] [!sFire]Fire[/s] Infusion","Gain [StatFireDamage] [!sFire]Fire[/s] Infusion"
"boons.common.fire.heatShock.Name","Heat Shock","Heat Shock"
"boons.common.focus.burdenOfHate.Description","[StatDamage] <b>Rune Damage</b> increased by {0}, but [StatFocusCost] <b>Focus Cost</b> increased by {1}","[StatDamage] <b>Rune Damage</b> increased by {0}, but [StatFocusCost] <b>Focus Cost</b> increased by {1}"
"boons.common.focus.burdenOfHate.Name","Burden of Hate","Burden of Hate"
"boons.common.focus.divineInspiration.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0}","[StatFocusGain] <b>Focus Gain</b> increased by {0}"
"boons.common.focus.divineInspiration.Name","Divine Inspiration","Divine Inspiration"
"boons.common.focus.focusedStrike.Description","[StatDamage] <b>Rune Damage</b> increased by {0}","[StatDamage] <b>Rune Damage</b> increased by {0}"
"boons.common.focus.focusedStrike.Name","Focused Strike","Focused Strike"
"boons.common.focus.quietResolve.Description","[StatMaxFocus] <b>Max Focus</b> increased by {0}","[StatMaxFocus] <b>Max Focus</b> increased by {0}"
"boons.common.focus.quietResolve.Name","Quiet Resolve","Quiet Resolve"
"boons.common.focus.recklessSpirit.Description","[StatFocusRegen] <b>Regenerate Focus</b>","[StatFocusRegen] <b>Regenerate Focus</b>"
"boons.common.focus.recklessSpirit.Name","Reckless Spirit","Reckless Spirit"
"boons.common.focus.vileStrength.Description","Gain {0} [StatFocus] <b>Focus</b> on Kill","Gain {0} [StatFocus] <b>Focus</b> on Kill"
"boons.common.focus.vileStrength.Name","Vile Strength","Vile Strength"
"boons.common.health.cleansingBalm.Description","[StatHealing] <b>Healing</b> increased by {0}","[StatHealing] <b>Healing</b> increased by {0}"
"boons.common.health.cleansingBalm.Name","Cleansing Balm","Cleansing Balm"
"boons.common.health.quickFeast.Description","<b>Food Cooldown</b> reduced by {0}","<b>Food Cooldown</b> reduced by {0}"
"boons.common.health.quickFeast.Name","Quick Feast","Quick Feast"
"boons.common.health.reapersReward.Description","Gain {0} [StatHealth] <b>Health</b> on Kill or Staggering an enemy","Gain {0} [StatHealth] <b>Health</b> on Kill or Staggering an enemy"
"boons.common.health.reapersReward.Name","Reaper's Reward","Reaper's Reward"
"boons.common.health.sayersBreath.Description","[StatMaxHealth] <b>Max Health</b> increased by {0}","[StatMaxHealth] <b>Max Health</b> increased by {0}"
"boons.common.health.sayersBreath.Name","Sayer's Breath","Sayer's Breath"
"boons.common.health.secondWind.Description","<b>Revive</b> once after being killed with {0} [StatHealth] <b>Health</b>","<b>Revive</b> once after being killed with {0} [StatHealth] <b>Health</b>"
