"key","source","target"
"enchantments.armorIncreased.Description","[StatArmor] <b>Armor</b> increased by {0}","[StatArmor] زيادة <b>الدرع</b> بمقدار {0}"
"enchantments.armorPenetrationIncreased.Description","Gain {0} [StatArmorPenetration] <b>Armor Penetration</b>","اكتساب {0} [StatArmorPenetration] <b>اختراق الدرع</b>"
"enchantments.attackDamageDecreased.Description","[StatDamage] <b>Attack Damage</b> reduced by {0}","[StatDamage] انخفاض <b>ضرر الهجوم</b> بمقدار {0}"
"enchantments.attackDamageIncreased.Description","[StatDamage] <b>Attack Damage</b> increased by {0}","[StatDamage] زيادة <b>ضرر الهجوم</b> بمقدار {0}"
"enchantments.attackDamageIncreasedAfterRuneAttack.Description","[StatDamage] <b>Attack Damage</b> increased by {0} for {1} seconds after Damage Dealt by Rune Attack","[StatDamage] زيادة <b>ضرر الهجوم</b> بمقدار {0} لمدة {1} ثوانٍ بعد إلحاق ضرر بهجوم الرون"
"enchantments.attackSpeedIncreased.Description","[StatAttackSpeed] <b>Attack Speed</b> increased by {0}","[StatAttackSpeed] زيادة <b>سرعة الهجوم</b> بمقدار {0}"
"enchantments.attackSpeedIncreasedAfterKill.Description","[StatAttackSpeed] <b>Attack Speed</b> increased by {1} for <b>{0} Seconds</b> after Kill","[StatAttackSpeed] زيادة <b>سرعة الهجوم</b> بمقدار {1} لمدة <b>{0} ثوانٍ</b> بعد القتل"
"enchantments.attackSpeedScalesWithDurability.Description","[StatAttackSpeed] <b>Attack Speed</b> increased by {0} of <b>Current Durability</b>","[StatAttackSpeed] زيادة <b>سرعة الهجوم</b> بمقدار {0} من <b>المتانة الحالية</b>"
"enchantments.attackStaminaCostDecreased.Description","[StatStaminaCost] <b>Attack Stamina Cost</b> reduced by {0}","[StatStaminaCost] تقليل <b>استهلاك التحمل للهجوم</b> بمقدار {0}"
"enchantments.attackStaminaCostDecreasedAfterParry.Description","[StatStaminaCost] <b>Attack Stamina Cost</b> reduced by {0} for {1} seconds after Parry","[StatStaminaCost] تقليل <b>استهلاك التحمل للهجوم</b> بمقدار {0} لمدة {1} ثوانٍ بعد الصد المتقن"
"enchantments.attackStaminaCostIncreased.Description","[StatStaminaCost] <b>Attack Stamina Cost</b> increased by {0}","[StatStaminaCost] زيادة <b>استهلاك التحمل للهجوم</b> بمقدار {0}"
"enchantments.barrierGainIncreased.Description","[StatBarrier] <b>Barrier Gain</b> increased by {0}","[StatBarrier] زيادة <b>اكتساب الحاجز</b> بمقدار {0}"
"enchantments.bleedBuildupEnabled.Description","Gain [StatBleed] [!sBleed]Bleed[/s] Infusion","اكتساب تضمين [StatBleed] [!sBleed]النزيف[/s]"
"enchantments.blockingDisabled.Description","<b>Block</b> disabled","تعطيل <b>الصد</b>"
"enchantments.bombDamageIncreased.Description","<b>Bomb Damage</b> increased by {0}","زيادة <b>ضرر القنابل</b> بمقدار {0}"
"enchantments.buildupResistance.Description","[StatElementalDamageTaken] <b>Buildup Resistance</b> increased by {0}","[StatElementalDamageTaken] زيادة <b>مقاومة التراكم</b> بمقدار {0}"
"enchantments.burnBuildupIncreased.Description","[StatFireDamage] [!sFire]Burn Buildup[/s] increased by {0}","[StatFireDamage] زيادة [!sFire]تراكم الاحتراق[/s] بمقدار {0}"
"enchantments.burnDamageIncreased.Description","[StatFireDamage] [!sFire]Burn Damage[/s] increased by {0}","[StatFireDamage] زيادة [!sFire]ضرر الاحتراق[/s] بمقدار {0}"
"enchantments.chanceToIngoreDurabilityLoss.Description","[StatDurability] <b>Durability Loss</b> ignored with {0} chance","تجاهل [StatDurability] <b>فقدان المتانة</b> بفرصة {0}"
"enchantments.chanceToNotConsumeBomb.Description","<b>Bomb not consumed</b> with {0} chance","<b>عدم استهلاك القنبلة</b> بفرصة {0}"
"enchantments.chargedDamageIncreased.Description","[StatDamage] <b>Charged Attack Damage</b> increased by {0}","[StatDamage] زيادة <b>ضرر الهجوم المشحون</b> بمقدار {0}"
"enchantments.coldDamageIncreased.Description","[StatColdDamage] [!sIce]Ice Damage[/s] increased by {0}","[StatColdDamage] زيادة [!sIce]ضرر الجليد[/s] بمقدار {0}"
"enchantments.coldDamageIncreasedAfterHeatDamageDealt.Descritpion","[StatColdDamage] [!sIce]Ice Damage[/s] increased by {0} for {1} seconds after [!sFire]Fire Damage[/s] Dealt","[StatColdDamage] زيادة [!sIce]ضرر الجليد[/s] بمقدار {0} لمدة {1} ثوانٍ بعد إلحاق [!sFire]ضرر النار[/s]"
"enchantments.coldDamageOverride.Description","Gain [StatColdDamage] [!sIce]Ice[/s] Infusion","اكتساب تضمين [StatColdDamage] [!sIce]الجليد[/s]"
"enchantments.criticalChanceIncreased.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0}","[StatCritical] زيادة <b>فرصة الضربة الحرجة</b> بمقدار {0}"
"enchantments.criticalChanceIncreasedAgainstBurningEnemies.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0} against [!sFire]Burning[/s] Enemies","[StatCritical] زيادة <b>فرصة الضربة الحرجة</b> بمقدار {0} ضد الأعداء [!sFire]المشتعلين[/s]"
"enchantments.criticalChanceIncreasedAtLowHealth.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0} at Low Health","[StatCritical] زيادة <b>فرصة الضربة الحرجة</b> بمقدار {0} عند انخفاض الصحة"
"enchantments.criticalDamageIncreased.Description","[StatCritical] <b>Critical Damage</b> increased by {0}","[StatCritical] زيادة <b>ضرر الضربة الحرجة</b> بمقدار {0}"
"enchantments.damageDecreasedAfterParryOrDodged.Description","[StatDamage] <b>Damage</b> reduced by {0} for {1} seconds after Parry or Damage Dodged","[StatDamage] انخفاض <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد الصد المتقن أو تفادي الضرر"
"enchantments.damageIncreased.Description","[StatDamage] <b>Damage</b> increased by {0}","[StatDamage] زيادة <b>الضرر</b> بمقدار {0}"
"enchantments.damageIncreasedAfterBackstab.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Backstab","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد الطعنة الخلفية"
"enchantments.damageIncreasedAfterBlock.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Block","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد الصد"
"enchantments.damageIncreasedAfterConsumeFood.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Consuming Food","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد تناول الطعام"
"enchantments.damageIncreasedAfterDamageTaken.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Damage Taken","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد تلقي الضرر"
"enchantments.damageIncreasedAfterDodged.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Damage Dodged","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد تفادي الضرر"
"enchantments.damageIncreasedAfterFatality.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Fatality","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد الضربة القاضية"
"enchantments.damageIncreasedAfterParry.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Parry","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد الصد المتقن"
"enchantments.damageIncreasedAfterSprint.Description","[StatDamage] <b>Damage</b> increased by {0} after Sprinting for {1} seconds","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} بعد الركض لمدة {1} ثوانٍ"
"enchantments.damageIncreasedAfterStagger.Description","[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Staggering an Enemy","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد ترنيح العدو"
"enchantments.damageIncreasedAgainstLargeEnemies.Description","[StatDamage] <b>Damage</b> increased by {0} against Large Enemies","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} ضد الأعداء الضخام"
"enchantments.damageIncreasedAgainstLowHealth.Description","[StatDamage] <b>Damage</b> increased by {0} against Low Health Enemies","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} ضد الأعداء منخفضي الصحة"
"enchantments.damageIncreasedAtFullFocus.Description","[StatDamage] <b>Damage</b> increased by {0} at Full Focus","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} عند اكتمال التركيز"
"enchantments.damageIncreasedAtFullHealth.Description","[StatDamage] <b>Damage</b> increased by {0} at Full Health","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} عند اكتمال الصحة"
"enchantments.damageIncreasedAtHighFocus.Description","[StatDamage] <b>Damage</b> increased by {0} at High Focus","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} عند ارتفاع التركيز"
"enchantments.damageIncreasedAtLowHealth.Description","[StatDamage] <b>Damage</b> increased by {0} at Low Health","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} عند انخفاض الصحة"
"enchantments.damageIncreasedPerNearbyEnemy.Description","[StatDamage] <b>Damage</b> increased by {0} for each Nearby Enemy","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} لكل عدو قريب"
"enchantments.damageIncreasedWhenHaveBarrier.Description","[StatDamage] <b>Damage</b> increased by {0} if have Barrier","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} عند وجود حاجز"
"enchantments.damageIncreasedWhenNoNearbyEnemy.Description","[StatDamage] <b>Damage</b> increased by {0} if no Enemies nearby","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} في حال عدم وجود أعداء بالقرب"
"enchantments.damageScalesWithCurrentFocus.Description","[StatDamage] <b>Damage</b> increased by {0} of [StatFocus] Current Focus","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} من [StatFocus] التركيز الحالي"
"enchantments.damageScalesWithDurability.Description","[StatDamage] <b>Damage</b> increased by {0} of <b>Current Durability</b>","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} من <b>المتانة الحالية</b>"
"enchantments.damageScalesWithMissingHealth.Description","[StatDamage] <b>Damage</b> increased by up to {0} based on Missing Health","[StatDamage] زيادة <b>الضرر</b> بما يصل إلى {0} بناءً على الصحة المفقودة"
"enchantments.damageScalesWithWeight.Description","[StatDamage] <b>Damage</b> increased by {0} of [StatWeight] <b>Current Weight</b>","[StatDamage] زيادة <b>الضرر</b> بمقدار {0} من [StatWeight] <b>الوزن الحالي</b>"
"enchantments.damageTakedDecreasedAtLowFocus.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} at Low Focus","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} عند انخفاض التركيز"
"enchantments.damageTakenDecreasedAfterBuildupTaken.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} for {1} seconds after being afflicted by Status","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد التأثر بحالة سلبية"
"enchantments.damageTakenDecreasedAfterConsumeFood.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} for {1} seconds after Consuming Food","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد تناول الطعام"
"enchantments.damageTakenDecreasedAtFullFocus.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} at Full Focus","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} عند اكتمال التركيز"
"enchantments.damageTakenDecreasedAtFullStamina.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} at Full Stamina","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} عند اكتمال التحمل"
"enchantments.damageTakenDecreasedAtLowHealth.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} at Low Health","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} عند انخفاض الصحة"
"enchantments.damageTakenDecreasedPerNearbyEnemy.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} for each Nearby Enemy","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} لكل عدو قريب"
"enchantments.damageTakenDecreasedWhileBlocking.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} while Blocking","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} أثناء الصد"
"enchantments.damageTakenDecreasedWhileCharging.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} while Charging","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} أثناء الشحن"
"enchantments.damageTakenIncreased.Description","[StatDamageTaken] <b>Damage Resistance</b> reduced by {0}","[StatDamageTaken] انخفاض <b>مقاومة الضرر</b> بمقدار {0}"
"enchantments.damageTakenIncreasedAfterConsumeFood.Description","[StatDamageTaken] <b>Damage Resistance</b> reduced by {0} for {1} seconds after Consuming Food","[StatDamageTaken] انخفاض <b>مقاومة الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد تناول الطعام"
"enchantments.damageTakenIncreasedAfterDamageTaken.Description","[StatDamageTaken] <b>Damage Resistance</b> reduced by {0} for {1} seconds after Damage Taken","[StatDamageTaken] انخفاض <b>مقاومة الضرر</b> بمقدار {0} لمدة {1} ثوانٍ بعد تلقي الضرر"
"enchantments.damageTakenIncreasedAtLowStamina.Description","[StatDamageTaken] <b>Damage Resistance</b> reduced by {0} at Low Stamina","[StatDamageTaken] انخفاض <b>مقاومة الضرر</b> بمقدار {0} عند انخفاض التحمل"
"enchantments.damageTakenIncreasedIfNotFullFocus.Description","[StatDamageTaken] <b>Damage Resistance</b> reduced by {0} if not at Full Focus","[StatDamageTaken] انخفاض <b>مقاومة الضرر</b> بمقدار {0} إذا لم يكتمل التركيز"
"enchantments.damageTakenScalesWithDurability.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0} of <b>Current Durability</b>","[StatDamageTaken] زيادة <b>مقاومة الضرر</b> بمقدار {0} من <b>المتانة الحالية</b>"
"enchantments.dealBleedDamageWhileBlocking.Description","Deal {0} [StatBleed] [!sBleed]Bleed Damage[/s] while Blocking","إلحاق {0} [StatBleed] [!sBleed]ضرر نزيف[/s] أثناء الصد"
"enchantments.dealColdDamageOnBlock.Description","Deal {0} [StatColdDamage] [!sIce]Ice Damage[/s] on Block","إلحاق {0} [StatColdDamage] [!sIce]ضرر جليد[/s] عند الصد"
"enchantments.dealDamageOnBlock.Description","Deal {0} [StatPhysicalDamage] [!sPhysical]Damage[/s] on Block","إلحاق {0} [StatPhysicalDamage] [!sPhysical]ضرر[/s] عند الصد"
