"key","source","target"
"entities.crafting.craftingTables.alchemyTable.alchemyTableData.alchemyTableGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Alchemy Table</color>.","Press [interact] to use the <color=#F2E6BD>Alchemy Table</color>."
"entities.crafting.craftingTables.anvil.anvilData.anvilGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Anvil</color>.","Press [interact] to use the <color=#F2E6BD>Anvil</color>."
"entities.crafting.craftingTables.artificerTable.name","Artificer Table","Artificer Table"
"entities.crafting.craftingTables.scribeTable.scribeTableData.scribeTableGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Scribe Table</color>.","Press [interact] to use the <color=#F2E6BD>Scribe Table</color>."
"entities.crafting.craftingTables.sewingTable.sewingTableData.sewingTableGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Sewing Table</color>.","Press [interact] to use the <color=#F2E6BD>Sewing Table</color>."
"entities.crafting.craftingTables.stove.stoveData.stoveGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Stove</color>.","Press [interact] to use the <color=#F2E6BD>Stove</color>."
"entities.crafting.craftingTables.workbench.workbenchData.workBenchGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Workbench</color>.","Press [interact] to use the <color=#F2E6BD>Workbench</color>."
"entities.crafting.refineries.furnace.tier1VendorFurnaceData.assetHintTextRecordRef","Press [interact] to <color=#F2E6BD>use the furnace</color>.","Press [interact] to <color=#F2E6BD>use the furnace</color>."
"entities.crafting.refineries.furnace.tier1VendorFurnaceData.assetRefineryNameRecordRef","Furnace","Furnace"
"entities.crafting.refineries.sawmill.tier1VendorSawmillData.assetHintTextRecordRef","Press [interact] to use the <color=#F2E6BD>Sawmill</color>.","Press [interact] to use the <color=#F2E6BD>Sawmill</color>."
"entities.crafting.refineries.sawmill.tier1VendorSawmillData.assetRefineryNameRecordRef","Sawmill","Sawmill"
"entities.crafting.refineries.spinningWheel.tier1VendorSpinningWheelData.assetHintTextRecordRef","Press [interact] to use the <color=#F2E6BD>Spinning Wheel</color>.","Press [interact] to use the <color=#F2E6BD>Spinning Wheel</color>."
"entities.crafting.refineries.spinningWheel.tier1VendorSpinningWheelData.assetRefineryNameRecordRef","Spinning Wheel","Spinning Wheel"
"entities.crafting.refineries.tanningRack.tier1VendorTanningRackData.assetHintTextRecordRef","Press [interact] to use the <color=#F2E6BD>Tanning Rack</color>.","Press [interact] to use the <color=#F2E6BD>Tanning Rack</color>."
"entities.crafting.refineries.tanningRack.tier1VendorTanningRackData.assetRefineryNameRecordRef","Tanning Rack","Tanning Rack"
"entities.hero.beingResurrectedHeroHint","<style=""Highlight"">(PLAYER) is resurrecting</style> you.","<style=""Highlight"">(PLAYER) is resurrecting</style> you."
