"key","source","target"
"readableLore.Inscriptions.bilsgard1Text","The Founder of Our City
The Father of Our Future

<i>""Let this slab of useless rock give life to new generations. Let faith in ourselves be our sacrament.""</i>","The Founder of Our City
The Father of Our Future

<i>""Let this slab of useless rock give life to new generations. Let faith in ourselves be our sacrament.""</i>"
"readableLore.Inscriptions.bilsgard2Text","Across the Waves He Sailed
Onto Barren Shores He Stepped
Through the Haze of Wastes He Saw
Into History He Leapt","Across the Waves He Sailed
Onto Barren Shores He Stepped
Through the Haze of Wastes He Saw
Into History He Leapt"
"readableLore.Inscriptions.bilsgard3Text","<i><nobr>O Hero,</nobr>
<nobr>O Breaker of the Way!</nobr>
<nobr>Where no ship had sailed, no Noble foot set</nobr>
<nobr>Since the days of the Great Plague</nobr>
<nobr>He brought Life, and Light</nobr>
<nobr>And built this city.</nobr>

<nobr>O Father,</nobr>
<nobr>O Child of the Embrace,</nobr>
<nobr>Through these cobblestones and flags</nobr>
<nobr>Plowed from earth and bone</nobr>
<nobr>He brought Order to Heresy</nobr>
<nobr>And built this city</nobr>.</i>","<i><nobr>O Hero,</nobr>
<nobr>O Breaker of the Way!</nobr>
<nobr>Where no ship had sailed, no Noble foot set</nobr>
<nobr>Since the days of the Great Plague</nobr>
<nobr>He brought Life, and Light</nobr>
<nobr>And built this city.</nobr>

<nobr>O Father,</nobr>
<nobr>O Child of the Embrace,</nobr>
<nobr>Through these cobblestones and flags</nobr>
<nobr>Plowed from earth and bone</nobr>
<nobr>He brought Order to Heresy</nobr>
<nobr>And built this city</nobr>.</i>"
"readableLore.Inscriptions.bilsgard4Text","Kafron Bilsgard, Founder of Sacrament

<i>In your Eyes the stones of these streets
In your Hands the future of Sacra
In your Heart the lives of its people</i>","Kafron Bilsgard, Founder of Sacrament

<i>In your Eyes the stones of these streets
In your Hands the future of Sacra
In your Heart the lives of its people</i>"
"readableLore.Inscriptions.cerimChamberStatue","<align=""center""><i><nobr>let the Gate stand as sentinel</nobr>
 
<nobr>open when the world is in chorus</nobr>

<nobr>closed when it cries out in torment</nobr>

this is the will of the Sayer</i></nobr>","<align=""center""><i><nobr>let the Gate stand as sentinel</nobr>
 
<nobr>open when the world is in chorus</nobr>

<nobr>closed when it cries out in torment</nobr>

this is the will of the Sayer</i></nobr>"
"readableLore.Inscriptions.cerimCrucibleEchoKnightWarning","<align=""center""><i><nobr>we remember the chosen few -</nobr>
<nobr> Cyvion, and his fiercest Unspoken </nobr>
<nobr>who fought these trials </nobr>
<nobr>through wrath and silenc--</nobr>




<nobr>--rever the tomb</nobr>
<nobr>of the Echo Knights</nobr>","<align=""center""><i><nobr>we remember the chosen few -</nobr>
<nobr> Cyvion, and his fiercest Unspoken </nobr>
<nobr>who fought these trials </nobr>
<nobr>through wrath and silenc--</nobr>




<nobr>--rever the tomb</nobr>
<nobr>of the Echo Knights</nobr>"
"readableLore.Inscriptions.dashaForsaken1Text","<align=""center"">The Forsaken

unto her
we spare no word
cast no eye
give no prayer","<align=""center"">The Forsaken

unto her
we spare no word
cast no eye
give no prayer"
"readableLore.Inscriptions.dashaMaker1Text","<align=""center"">Learned Maker

he shapes the home
the family
the law
the way","<align=""center"">Learned Maker

he shapes the home
the family
the law
the way"
"readableLore.Inscriptions.dashaMother1Text","<align=""center"">Sacred Mother

she carries the earth
the harvest
the heart
the dawn","<align=""center"">Sacred Mother

she carries the earth
the harvest
the heart
the dawn"
"readableLore.Inscriptions.dashaSeeker1Text","<align=""center"">Restless Seeker

he strives for growth
for vision
for valor
for more","<align=""center"">Restless Seeker

he strives for growth
for vision
for valor
for more"
"readableLore.Inscriptions.mountainGateText","<align=""center""><i><nobr>open in --       peace an--</nobr>
<nobr>closed -- </nobr>
<nobr>days of sufferi --</nobr> 
<nobr>whispe--    of the Sayer -- </nobr>
<nobr>from her -- chambe -- </nobr>
<nobr>to the west</i></nobr>","<align=""center""><i><nobr>open in --       peace an--</nobr>
<nobr>closed -- </nobr>
<nobr>days of sufferi --</nobr> 
<nobr>whispe--    of the Sayer -- </nobr>
<nobr>from her -- chambe -- </nobr>
<nobr>to the west</i></nobr>"
"readableLore.InteractionHints.BookDefault","Press <color=""yellow"">[interact]</color> to read Book","Press <color=""yellow"">[interact]</color> to read Book"
"readableLore.InteractionHints.GravestoneDefault","Press <color=""yellow"">[interact]</color> to read Gravestone ","Press <color=""yellow"">[interact]</color> to read Gravestone "
"readableLore.InteractionHints.InscriptionDefault","Press <color=""yellow"">[interact]</color> to read Inscription","Press <color=""yellow"">[interact]</color> to read Inscription"
"readableLore.InteractionHints.JournalDefault","Press <color=""yellow"">[interact]</color> to read Journal","Press <color=""yellow"">[interact]</color> to read Journal"
"readableLore.InteractionHints.NoteDefault","Press <color=""yellow"">[interact]</color> to read Note","Press <color=""yellow"">[interact]</color> to read Note"
"readableLore.InteractionHints.PosterDefault","Press <color=""yellow"">[interact]</color> to view Poster","Press <color=""yellow"">[interact]</color> to view Poster"
"readableLore.InteractionHints.StatueDefault","Press <color=""yellow"">[interact]</color> to read Statue","Press <color=""yellow"">[interact]</color> to read Statue"
"readableLore.bookExcerpts.ElsaNoteOnMasonryDoor","<i>The stone masonry is closed due to a cave-in. </i>

<i>For those seeking entry, find the historian Elsa near the town square.</i>","<i>The stone masonry is closed due to a cave-in. </i>

<i>For those seeking entry, find the historian Elsa near the town square.</i>"
"readableLore.bookExcerpts.ElsaNoteinCerimAntechamber1","<i>I find myself talking aloud to the Sayer as I try to tease out her secrets. Yet another reason I suppose I'd make a poor Cerim - the Unspoken thrive in silence. 

But if I am quiet, all I hear is my father's voice in my head - 'history compels patience, Elsa.' And my mother too - 'don't forget to eat, child.'

It seems unfair that the dead can wait an eternity while we living have so little time.</i>","<i>I find myself talking aloud to the Sayer as I try to tease out her secrets. Yet another reason I suppose I'd make a poor Cerim - the Unspoken thrive in silence. 

But if I am quiet, all I hear is my father's voice in my head - 'history compels patience, Elsa.' And my mother too - 'don't forget to eat, child.'

It seems unfair that the dead can wait an eternity while we living have so little time.</i>"
