"key","source","target"
"worlds.cerimCrucible.name","Cerim Crucible","Cerim Crucible"
"worlds.cerimCrucible.whisper.name","Crucible Atrium","Crucible Atrium"
"worlds.isolaSacra.brineVault.name","Brine Vault","Brine Vault"
"worlds.isolaSacra.caylen.name","Caylen","Caylen"
"worlds.isolaSacra.cerimChamber.name","Cerim Chamber","Cerim Chamber"
"worlds.isolaSacra.frozenPeaks.frozenPeaksCaveA.name","Cave","Cave"
"worlds.isolaSacra.irmgardsCottage.name","Irmgard's Cottage","Irmgard's Cottage"
"worlds.isolaSacra.lowlandMeadows.bossWhisper.name","Hunters Vale","Hunters Vale"
"worlds.isolaSacra.lowlandMeadows.caveWhisper.name","Weeping Sisters","Weeping Sisters"
"worlds.isolaSacra.lowlandMeadows.lumberMill.name","Lumbermill","Lumbermill"
"worlds.isolaSacra.lowlandMeadows.lumberMillWhisper.name","Lumber Mill","Lumber Mill"
"worlds.isolaSacra.lowlandMeadows.name","Lowland Meadows","Lowland Meadows"
"worlds.isolaSacra.lowlandMeadows.reedsFarmstead.name","Reed's Farmstead","Reed's Farmstead"
"worlds.isolaSacra.lowlandMeadows.windmillWhisper.name","Windmill","Windmill"
"worlds.isolaSacra.marinVillage.marinCemetery.name","Marin Cemetery","Marin Cemetery"
"worlds.isolaSacra.marinVillage.name","Marin Village","Marin Village"
"worlds.isolaSacra.marinVillage.sovannCircle.name","Sovann Circle","Sovann Circle"
"worlds.isolaSacra.marinVillage.whisper.name","Marin Village","Marin Village"
"worlds.isolaSacra.marinWoods.initialWhisper.name","Harvest Road","Harvest Road"
"worlds.isolaSacra.marinWoods.name","Marin Woods","Marin Woods"
"worlds.isolaSacra.marinWoods.roostWhisper.name","Balak Taw Roost","Balak Taw Roost"
"worlds.isolaSacra.marinWoods.templeWhisper.name","Temple of Day and Night","Temple of Day and Night"
"worlds.isolaSacra.marinWoods.wagonsWhisper.name","Seeker's Rest","Seeker's Rest"
"worlds.isolaSacra.marinWoods.watermill.name","Marin Watermill","Marin Watermill"
"worlds.isolaSacra.marinWoods.wingedDoorWhisper.name","Winged Door","Winged Door"
"worlds.isolaSacra.marinersKeep.name","Mariner's Keep","Mariner's Keep"
"worlds.isolaSacra.marinersKeep.whisper.name","Ramparts","Ramparts"
"worlds.isolaSacra.merchantShip.name","Merchant Ship","Merchant Ship"
"worlds.isolaSacra.mountainGate.name","Mountain Gate","Mountain Gate"
"worlds.isolaSacra.mountainGateQuarry.name","Bilsgard's Quarry","Bilsgard's Quarry"
"worlds.isolaSacra.orbanGlades.eastWhisper.name","Sage Road","Sage Road"
"worlds.isolaSacra.orbanGlades.ionasCavern.whisper.name","Iona's Cavern","Iona's Cavern"
"worlds.isolaSacra.orbanGlades.name","Orban Glades","Orban Glades"
"worlds.isolaSacra.orbanGlades.westWhisper.name","Forgotten Bridge","Forgotten Bridge"
"worlds.isolaSacra.outskirts.ionasCavern.name","Iona's Cavern","Iona's Cavern"
"worlds.isolaSacra.phalen.phalenCathedral.name","Phalen Cathedral","Phalen Cathedral"
"worlds.isolaSacra.sacrament.gordonsPantry.name","Gordon's Pantry","Gordon's Pantry"
"worlds.isolaSacra.sacrament.lodging.name","Lodgings","Lodgings"
"worlds.isolaSacra.sacrament.makerDanossStudy.name","Maker Danos's Study","Maker Danos's Study"
"worlds.isolaSacra.sacrament.marketplace.name","Marketplace","Marketplace"
"worlds.isolaSacra.sacrament.masonry.name","Masonry","Masonry"
"worlds.isolaSacra.sacrament.miraMerisTailorShop.name","Mira & Meri's Tailor Shop","Mira & Meri's Tailor Shop"
"worlds.isolaSacra.sacrament.name","Sacrament","Sacrament"
"worlds.isolaSacra.sacrament.rookery.name","Rookery","Rookery"
"worlds.isolaSacra.sacrament.rookeryLodgings.name","Rookery Lodgings","Rookery Lodgings"
"worlds.isolaSacra.sacrament.sacramentCemetery.name","Sacrament Cemetery","Sacrament Cemetery"
"worlds.isolaSacra.sacrament.theBurrow.name","The Burrow","The Burrow"
"worlds.isolaSacra.sacrament.theDustyLoom.name","The Dusty Loom","The Dusty Loom"
"worlds.isolaSacra.sacrament.theGallows.name","The Gallows","The Gallows"
"worlds.isolaSacra.sacrament.theHomestead.name","The Homestead","The Homestead"
"worlds.isolaSacra.sacrament.theHovel.name","The Hovel","The Hovel"
"worlds.isolaSacra.sacrament.theKnot.name","The Knot","The Knot"
"worlds.isolaSacra.sacrament.theRoost.name","The Roost","The Roost"
"worlds.isolaSacra.sacrament.warRoom.name","War Room","War Room"
"worlds.isolaSacra.sacrament.whisper.name","Marketplace","Marketplace"
"worlds.isolaSacra.shipGraveyard.name","Ship Graveyard","Ship Graveyard"
"worlds.isolaSacra.sylvanHollow.name","Sylvan Hollow","Sylvan Hollow"
"worlds.isolaSacra.templeOfDayAndNight.name","Temple of Day and Night","Temple of Day and Night"
"worlds.isolaSacra.theBlackTrench.entranceWhisper.name","Central Chamber","Central Chamber"
"worlds.isolaSacra.theBlackTrench.name","The Black Trench","The Black Trench"
