key,source,target
enchantments.armorIncreased.Description,[StatArmor] <b>Armor</b> increased by {0},
enchantments.armorPenetrationIncreased.Description,Gain {0} [StatArmorPenetration] <b>Armor Penetration</b>,
enchantments.attackDamageDecreased.Description,[StatDamage] <b>Attack Damage</b> reduced by {0},
enchantments.attackDamageIncreased.Description,[StatDamage] <b>Attack Damage</b> increased by {0},
enchantments.attackDamageIncreasedAfterRuneAttack.Description,[StatDamage] <b>Attack Damage</b> increased by {0} for {1} seconds after Damage Dealt by Rune Attack,
enchantments.attackSpeedIncreased.Description,[StatAttackSpeed] <b>Attack Speed</b> increased by {0},
enchantments.attackSpeedIncreasedAfterKill.Description,[StatAttackSpeed] <b>Attack Speed</b> increased by {1} for <b>{0} Seconds</b> after Kill,
enchantments.attackSpeedScalesWithDurability.Description,[StatAttackSpeed] <b>Attack Speed</b> increased by {0} of <b>Current Durability</b>,
enchantments.attackStaminaCostDecreased.Description,[StatStaminaCost] <b>Attack Stamina Cost</b> reduced by {0},
enchantments.attackStaminaCostDecreasedAfterParry.Description,[StatStaminaCost] <b>Attack Stamina Cost</b> reduced by {0} for {1} seconds after Parry,
enchantments.attackStaminaCostIncreased.Description,[StatStaminaCost] <b>Attack Stamina Cost</b> increased by {0},
enchantments.barrierGainIncreased.Description,[StatBarrier] <b>Barrier Gain</b> increased by {0},
enchantments.bleedBuildupEnabled.Description,Gain [StatBleed] [!sBleed]Bleed[/s] Infusion,
enchantments.blockingDisabled.Description,<b>Block</b> disabled,
enchantments.bombDamageIncreased.Description,<b>Bomb Damage</b> increased by {0},
enchantments.buildupResistance.Description,[StatElementalDamageTaken] <b>Buildup Resistance</b> increased by {0},
enchantments.burnBuildupIncreased.Description,[StatFireDamage] [!sFire]Burn Buildup[/s] increased by {0},
enchantments.burnDamageIncreased.Description,[StatFireDamage] [!sFire]Burn Damage[/s] increased by {0},
enchantments.chanceToIngoreDurabilityLoss.Description,[StatDurability] <b>Durability Loss</b> ignored with {0} chance,
enchantments.chanceToNotConsumeBomb.Description,<b>Bomb not consumed</b> with {0} chance,
enchantments.chargedDamageIncreased.Description,[StatDamage] <b>Charged Attack Damage</b> increased by {0},
enchantments.coldDamageIncreased.Description,[StatColdDamage] [!sIce]Ice Damage[/s] increased by {0},
enchantments.coldDamageIncreasedAfterHeatDamageDealt.Descritpion,[StatColdDamage] [!sIce]Ice Damage[/s] increased by {0} for {1} seconds after [!sFire]Fire Damage[/s] Dealt,
enchantments.coldDamageOverride.Description,Gain [StatColdDamage] [!sIce]Ice[/s] Infusion,
enchantments.criticalChanceIncreased.Description,[StatCritical] <b>Critical Hit Chance</b> increased by {0},
enchantments.criticalChanceIncreasedAgainstBurningEnemies.Description,[StatCritical] <b>Critical Hit Chance</b> increased by {0} against [!sFire]Burning[/s] Enemies,
enchantments.criticalChanceIncreasedAtLowHealth.Description,[StatCritical] <b>Critical Hit Chance</b> increased by {0} at Low Health,
enchantments.criticalDamageIncreased.Description,[StatCritical] <b>Critical Damage</b> increased by {0},
enchantments.damageDecreasedAfterParryOrDodged.Description,[StatDamage] <b>Damage</b> reduced by {0} for {1} seconds after Parry or Damage Dodged,
enchantments.damageIncreased.Description,[StatDamage] <b>Damage</b> increased by {0},
enchantments.damageIncreasedAfterBackstab.Description,[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Backstab,
enchantments.damageIncreasedAfterBlock.Description,[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Block,
enchantments.damageIncreasedAfterConsumeFood.Description,[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Consuming Food,
enchantments.damageIncreasedAfterDamageTaken.Description,[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Damage Taken,
enchantments.damageIncreasedAfterDodged.Description,[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Damage Dodged,
enchantments.damageIncreasedAfterFatality.Description,[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Fatality,
enchantments.damageIncreasedAfterParry.Description,[StatDamage] <b>Damage</b> increased by {0} for {1} seconds after Parry,
