"key","source","target"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.beggarsDogBeggarsTrustNpcView.beggarsTrustDogInteractions.beggarsTrustDogLine.audioGroup.subtitle.CasperPetInteractionText"," . . . . . . . . . . . . "," . . . . . . . . . . . . "
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.beggarsDogBeggarsTrustNpcView.beggarsTrustDogInteractions.beggarsTrustDogLine.audioGroup.subtitle.Text","Wuff.","هو هو."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.beggarsDogBeggarsTrustNpcView.proximityActions.whine.audioGroup.subtitle.Text","Bah, who needs you.","تبّاً، من يحتاج إليك أصلاً."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustFirstInteractionLines.beggarsTrust1FirstLine.audioGroup.subtitle.Text","Appreciates the attention, reveals he'll share his story.","يُقدّر الاهتمام، ويكشف أنه سيروي قصته."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustFirstInteractionLines.beggarsTrust1SecondLine.audioGroup.subtitle.Text","Tells part one of a personal story. Story involves dog.","يروي الجزء الأول من قصة شخصية. القصة تتضمن كلباً."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustFirstInteractionLines.beggarsTrust1ThirdLine.audioGroup.subtitle.Text","Promises more, thanks for attention, comments/interacts with dog.
Asks that you donate to the bin, for the community's sake.","يَعِد بالمزيد، ويشكر على الاهتمام، ويعلق/يتفاعل مع الكلب.
يطلب منك التبرع في الصندوق، من أجل مجتمعه."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustFourthInteractionLines.beggarsTrust4FirstLine.audioGroup.subtitle.Text","Speechless at the sight of dust. Scared to try it.","عاجز عن الكلام عند رؤية الغبار. خائف من تجربته."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustFourthInteractionLines.beggarsTrust4SecondLine.audioGroup.subtitle.Text","Determined. Will leverage this opportunity for a better outcome. Owes it to his community, and his loyal dog.","عازم. سيستغل هذه الفرصة لنيل نتيجة أفضل. إنه مدين بذلك لمجتمعه، ولكلبه الوفي."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustJustATaste.audioGroup.subtitle.Text","Expresses agony over withdrawal symptoms","يُعرب عن عذابه جراء أعراض الانسحاب."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustPleaseDonate.audioGroup.subtitle.Text","Asks for you to donate to the community.
He'll continue his story after.","يطلب منك التبرع للمجتمع.
وسيواصل قصته بعد ذلك."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustSecondInteractionLines.beggarsTrust2FirstLine.audioGroup.subtitle.Text","Comments on and appreciates your return.","يعلق على عودتك ويُبدي امتنانه لها."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustSecondInteractionLines.beggarsTrust2SecondLine.audioGroup.subtitle.Text","Tells part two of personal story. Dog is significant.","يروي الجزء الثاني من القصة الشخصية. الكلب له دور محوري."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustSecondInteractionLines.beggarsTrust2ThirdLine.audioGroup.subtitle.Text","Wishes to see you again soon.
Mentions donations are always appreciated.
For the community.","يتمنى رؤيتك ثانية قريباً.
يذكر أن التبرعات موضع تقدير دوماً.
من أجل المجتمع."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustThirdInteractionLines.beggarsTrust3FirstLine.audioGroup.subtitle.Text","Thanks you for you generosity. He worries for his community.","يشكرك على سخائك. إنه يشعر بالقلق على مجتمعه."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustThirdInteractionLines.beggarsTrust3SecondLine.audioGroup.subtitle.Text","Owes you the rest of his story.
Gives the conclusion to his tales.
It involves the dog.","مدين لك ببقية قصته.
يروي خاتمة حكاياته.
والكلب جزء منها."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustThirdInteractionLines.beggarsTrust3ThirdLine.audioGroup.subtitle.Text","Admits to his dust addiction.
Wants to go back to his glory days.
Withdrawal holds him back, a taste might help.","يعترف بإدمانه على الغبار.
يرغب في العودة إلى أيام مجده الغابرة.
أعراض الانسحاب تعيقه، وقد تفيده جرعة صغيرة."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.mainBeggarBeggarsTrustNpcView.proximityActions.compassionateDogComment1.audioGroup.subtitle.Text","Comforting dog, it's all going to be alright.","يواسي الكلب: كل شيء سيكون على ما يرام."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustInteraction1.audioGroup.subtitle.Text","Likes [Main Beggar]. He takes care of them. Worries for his health.","يحب [المتسول الرئيسي]. إنه يرعاهم. ويقلق على صحته."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustInteraction2.audioGroup.subtitle.Text","Info about community","معلومات حول المجتمع"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.beggarsTrustInteraction3.audioGroup.subtitle.Text","Fun fact about community","حقيقة طريفة حول المجتمع"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.chestBeggarInteractions.retalk.audioGroup.subtitle.Text","Even Ellsworth’s turned a blind eye to our corner of Sacrament. Just because we have nothing, doesn’t mean we’re not people too.","حتى إلسورث غض الطرف عن ركننا هذا في ساكرامنت. مجرد أننا لا نملك شيئاً لا يعني أننا لسنا بشراً أيضاً."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.chestBeggarInteractions.showMercy.audioGroup.subtitle.Text","Please, show some mercy to those of us who’ve fallen on hard times.","أرجوك، ترفق بأولئك الذين ألمّت بهم نوائب الدهر منا."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.chestBeggarInteractions.spareAFewCoppers.audioGroup.subtitle.Text","Spare a few coppers, will you? That we might forget our troubles, if only for a time.","جُد علينا ببضع قطع نحاسية، لو سمحت؟ لعلنا ننسى همومنا، ولو للحظات معدودة."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.chestBeggarInteractions.sufferingWithinWalls.audioGroup.subtitle.Text","Everyone speaks of the suffering beyond our walls, but ignores those of us suffering within them.","الكل يتحدث عن المعاناة خارج أسوارنا، لكنهم يتجاهلون أولئك الذين يعانون داخلها منا."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.mainBeggarDied.mainBeggarDied1.audioGroup.subtitle.Text","Main beggar has died. 
Saddened by his death. They'll miss him.
He tried his best, but dust takes them all in the end.","مات المتسول الرئيسي.
حزن عميق لوفاته، سيفتقدونه كثيراً.
بذل قصارى جهده، لكن الغبار يفتك بالجميع في النهاية."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.beggarsTrustMainBeggarInteractions.mainBeggarDied.mainBeggarDied2.audioGroup.subtitle.Text","He is burried to the south east.
Cross the bridge to the east. Follow the river south. 
Next to a bridge, you will find the humble grave.","إنه مدفون في الجنوب الشرقي.
اعبر الجسر شرقاً. اتبع مجرى النهر جنوباً.
بجوار الجسر، ستجد القبر المتواضع."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.proximityActions.aBitofHelp.audioGroup.subtitle.Text","A bit of help?","أمن يد عون؟"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.beggarsTrustQuestNPCs.sideBeggarMaleBeggarsTrustNpcView.proximityActions.thankYouSir.audioGroup.subtitle.Text","Thank you!","شكراً لك!"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.ChoseFreedomRetalk1.audioGroup.subtitle.Text","What have I done...","ماذا فعلتُ..."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.ChoseFreedomRetalk2.audioGroup.subtitle.Text","Leave me. I won’t trouble you anymore.","دعني وشأني. لن أزعجك بعد الآن."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.timeline1.audioGroup.subtitle.Text","Oh Cerim, you’ve come... but it's too late.","أواه أيها السيريم، لقد جئت... ولكن بعد فوات الأوان."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.timeline2.audioGroup.subtitle.Text","This creature broke into our home.. covering my mouth with its twisted hand.","هذا المخلوق اقتحم بيتنا.. واضعاً يده الملتوية على فمي ليكتم صوتي."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.timeline3.audioGroup.subtitle.Text","I stabbed it with my knife over and over, and I didn’t stop until it finally lay silent.","طعنته بسكيني مراراً وتكراراً، ولم أتوقف حتى سكن جسده في النهاية وهدأ حراكه."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.timeline41.audioGroup.subtitle.Text","It was only then that I realized...My sweet Dallin, no more..","وحينها فقط أدركت الحقيقة... دالين، حبيبي الغالي، لم يعد حياً.."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.timeline5.audioGroup.subtitle.Text","Esmond must never know the truth. Take this reward for your silence, Cerim. And leave me, that I might bury my Dallin before Esmond returns.","إياك أن يعلم إسموند الحقيقة. خذ هذه المكافأة نظير صمتك، أيها السيريم. واتركني، لعلي أواري دالين الثرى قبل أن يعود إسموند."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenPacingView.MissingBrothersWifeChoseFreedom.timeline5.audioGroup.subtitle.Text1","Dallin...forgive me. I didn’t know...","دالين... سامحني. لم أكن أعلم..."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.MissingBrothersWifeChoseDeath.timeline1.audioGroup.subtitle.Text","Dallin is out there, somewhere. One day he will return. Esmond says he won’t, but he must.","دالين هناك في مكان ما بالخارج. يوماً ما سيعود. يقول إسموند إنه لن يعود، لكن لابد أن يعود."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.MissingBrothersWifeInitialConvo.timeline.audioGroup.subtitle.Text","Placeholder Dialog - Wife asks player to search the area and find where the missing man has gone.","حوار إرشادي مؤقت - الزوجة تطلب من اللاعب تفتيش المنطقة ومعرفة أين ذهب الرجل المفقود."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.MissingBrothersWifePostInitialConvoRetalk.timeline.audioGroup.subtitle.Text","Missing Brother Quest In-Progress Retalk.","حوار متابعة أثناء التقدم في مهمة الأخ المفقود."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.NpcRetalkAfterWinnicksVignette.timeline1.audioGroup.subtitle.Text","You hear that? Wasn't us that beat back the raiders. It was Phalen's God.","أسمعت ذلك؟ لم نكن نحن من رد غارات المغيرين. بل كان إله فالن."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.NpcRetalkAfterWinnicksVignette.timeline2.audioGroup.subtitle.Text","How much more bloodshed 'til this is all over?","كم من الدماء ستُسفك بعد حتى ينتهي كل هذا؟"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.NpcRetalkAfterWinnicksVignette.timeline3.audioGroup.subtitle.Text","I've not seen you around. You one of Winnick's?","لم أرك في الأرجاء من قبل. أأنت من أتباع وينيك؟"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.NpcRetalkAfterWinnicksVignette.timeline4.audioGroup.subtitle.Text","My boy's out there, and they won't let me retrieve his body. They're leaving him to those beasts!","ابني هناك في الخارج، وهم يرفضون السماح لي باستعادة جثته. يتركونه لتلك الوحوش المفترسة!"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.NpcRetalkAfterWinnicksVignette.timeline5.audioGroup.subtitle.Text","Raiders're one thing, but these walls weren't built to keep out the Plague.","المغيرون أمر، لكن هذه الأسوار لم تُبنَ لصد الوباء."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.NpcRetalkWhileListening.timeline.audioGroup.subtitle.Text","Hush. Trying to listen.","صه. أحاول الاستماع."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.defaultInteractionDialog.timelineA.audioGroup.subtitle.Text","You finding your way through town all right?","أتسير أمورك في التجوال بالمدينة على ما يرام؟"
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.defaultInteractionDialog.timelineB.audioGroup.subtitle.Text","It's nice to see new faces around. Friendly faces, at least. Seen just about enough of the other kind.","من الجميل رؤية وجوه جديدة في الأرجاء. وجوه ودودة على الأقل، فقد رأيت ما يكفي ويزيد من النوع الآخر."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherEileenView.defaultInteractionDialog.timelineC.audioGroup.subtitle.Text","Heard about the tussel at the gate, night past. Heard you won.","سمعت عن الاشتباك عند البوابة الليلة الماضية. وسمعت أنك انتصرت."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherHusbandView.atHomeDialogChoseDeath.timeline1.audioGroup.subtitle.Text","Your search gave Eileen hope, and she cannot accept the truth. Dallin is gone.","بحثك منح إيلين الأمل، وهي تعجز عن تقبل الحقيقة. لقد هلك دالين."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherHusbandView.atHomeDialogChoseDeath.timeline2.audioGroup.subtitle.Text","Take this reward for your silence, Cerim. And from now on, refrain from matters such as these.","خذ هذه المكافأة نظير صمتك، أيها السيريم. ومن الآن فصاعداً، نأ بنفسك عن مثل هذه الأمور."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherHusbandView.atHomeDialogChoseDeathRetalk.timeline.audioGroup.subtitle.Text","Let us never speak of this again.","إياك أن نفتح هذا الموضوع مجدداً."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherHusbandView.atHomeDialogChoseFreedom.timeline1.audioGroup.subtitle.Text","Dallin came here, I can sense it. Eileen must never learn the truth of how the plague took hold of him.","دالين أتى إلى هنا، أكاد أشعر به. إياك أن تعرف إيلين حقيقة كيف تمكن الوباء منه."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherHusbandView.atHomeDialogChoseFreedom.timeline2.audioGroup.subtitle.Text","Take this reward for your silence, Cerim. From now on, refrain from matters such as these.","خذ هذه المكافأة نظير صمتك، أيها السيريم. ومن الآن فصاعداً، نأ بنفسك عن مثل هذه الأمور."
"needsReview.AddressableAssets.quantumPrefabs.characters.NPCs.questNPCs.missingBrotherNPCs.missingBrotherHusbandView.missingBrotherQuest-Husband-KilledBrother1.timeline1.audioGroup.subtitle.Text","You’ve done him a kindness to end his suffering. My sweet Eileen will keep praying for his return, but in time she will forget him.","لقد أسديت له معروفاً بإنهاء معاناته. ستظل إيلين الحبيبة تصلي لعودته، لكن مع مرور الوقت ستنساه."
