key,source,target
worlds.cerimCrucible.name,Cerim Crucible,
worlds.cerimCrucible.whisper.name,Crucible Atrium,
worlds.isolaSacra.brineVault.name,Brine Vault,
worlds.isolaSacra.caylen.name,Caylen,
worlds.isolaSacra.cerimChamber.name,Cerim Chamber,
worlds.isolaSacra.frozenPeaks.frozenPeaksCaveA.name,Cave,
worlds.isolaSacra.irmgardsCottage.name,Irmgard's Cottage,
worlds.isolaSacra.lowlandMeadows.bossWhisper.name,Hunters Vale,
worlds.isolaSacra.lowlandMeadows.caveWhisper.name,Weeping Sisters,
worlds.isolaSacra.lowlandMeadows.lumberMill.name,Lumbermill,
worlds.isolaSacra.lowlandMeadows.lumberMillWhisper.name,Lumber Mill,
worlds.isolaSacra.lowlandMeadows.name,Lowland Meadows,
worlds.isolaSacra.lowlandMeadows.reedsFarmstead.name,Reed's Farmstead,
worlds.isolaSacra.lowlandMeadows.windmillWhisper.name,Windmill,
worlds.isolaSacra.marinVillage.marinCemetery.name,Marin Cemetery,
worlds.isolaSacra.marinVillage.name,Marin Village,
worlds.isolaSacra.marinVillage.sovannCircle.name,Sovann Circle,
worlds.isolaSacra.marinVillage.whisper.name,Marin Village,
worlds.isolaSacra.marinWoods.initialWhisper.name,Harvest Road,
worlds.isolaSacra.marinWoods.name,Marin Woods,
worlds.isolaSacra.marinWoods.roostWhisper.name,Balak Taw Roost,
worlds.isolaSacra.marinWoods.templeWhisper.name,Temple of Day and Night,
worlds.isolaSacra.marinWoods.wagonsWhisper.name,Seeker's Rest,
worlds.isolaSacra.marinWoods.watermill.name,Marin Watermill,
worlds.isolaSacra.marinWoods.wingedDoorWhisper.name,Winged Door,
worlds.isolaSacra.marinersKeep.name,Mariner's Keep,
worlds.isolaSacra.marinersKeep.whisper.name,Ramparts,
worlds.isolaSacra.merchantShip.name,Merchant Ship,
worlds.isolaSacra.mountainGate.name,Mountain Gate,
worlds.isolaSacra.mountainGateQuarry.name,Bilsgard's Quarry,
worlds.isolaSacra.orbanGlades.eastWhisper.name,Sage Road,
worlds.isolaSacra.orbanGlades.ionasCavern.whisper.name,Iona's Cavern,
worlds.isolaSacra.orbanGlades.name,Orban Glades,
worlds.isolaSacra.orbanGlades.westWhisper.name,Forgotten Bridge,
worlds.isolaSacra.outskirts.ionasCavern.name,Iona's Cavern,
worlds.isolaSacra.phalen.phalenCathedral.name,Phalen Cathedral,
worlds.isolaSacra.sacrament.gordonsPantry.name,Gordon's Pantry,
worlds.isolaSacra.sacrament.lodging.name,Lodgings,
worlds.isolaSacra.sacrament.makerDanossStudy.name,Maker Danos's Study,
worlds.isolaSacra.sacrament.marketplace.name,Marketplace,
worlds.isolaSacra.sacrament.masonry.name,Masonry,
worlds.isolaSacra.sacrament.miraMerisTailorShop.name,Mira & Meri's Tailor Shop,
worlds.isolaSacra.sacrament.name,Sacrament,
worlds.isolaSacra.sacrament.rookery.name,Rookery,
worlds.isolaSacra.sacrament.rookeryLodgings.name,Rookery Lodgings,
worlds.isolaSacra.sacrament.sacramentCemetery.name,Sacrament Cemetery,
worlds.isolaSacra.sacrament.theBurrow.name,The Burrow,
worlds.isolaSacra.sacrament.theDustyLoom.name,The Dusty Loom,
worlds.isolaSacra.sacrament.theGallows.name,The Gallows,
worlds.isolaSacra.sacrament.theHomestead.name,The Homestead,
worlds.isolaSacra.sacrament.theHovel.name,The Hovel,
worlds.isolaSacra.sacrament.theKnot.name,The Knot,
worlds.isolaSacra.sacrament.theRoost.name,The Roost,
worlds.isolaSacra.sacrament.warRoom.name,War Room,
worlds.isolaSacra.sacrament.whisper.name,Marketplace,
worlds.isolaSacra.shipGraveyard.name,Ship Graveyard,
worlds.isolaSacra.sylvanHollow.name,Sylvan Hollow,
worlds.isolaSacra.templeOfDayAndNight.name,Temple of Day and Night,
worlds.isolaSacra.theBlackTrench.entranceWhisper.name,Central Chamber,
worlds.isolaSacra.theBlackTrench.name,The Black Trench,
worlds.isolaSacra.theBlackTrench.northWestWhisper.name,The Depths,
worlds.isolaSacra.theBlackTrench.shrineWhisper.name,Fungal Shrine,
worlds.isolaSacra.theHuntersVale.name,The Hunter's Vale,
worlds.isolaSacra.theManor.name,The Manor,
worlds.isolaSacra.theNamelessPass.cavernWhisper.name,Shrouded Cavern,
worlds.isolaSacra.theNamelessPass.cerimChamberWhisper.name,Cerim Chamber,
worlds.isolaSacra.theNamelessPass.entranceWhisper.name,Ashen Road,
worlds.isolaSacra.theNamelessPass.firepitWhisper.name,The Cauldron,
worlds.isolaSacra.theNamelessPass.mountianGateWhisper.name,Mountain Gate,
worlds.isolaSacra.theNamelessPass.name,Nameless Pass,
worlds.isolaSacra.theNamelessPass.quarryDungeonWhisper.name,Quarry Dungeon,
worlds.isolaSacra.theNamelessPass.quarryElevatorWhisper.name,Quarry Elevator,
worlds.isolaSacra.theShallows.name,The Shallows,
worlds.isolaSacra.theShallows.whisper.name,Saltborn Tower,
